B04, Trade, 86000.533, 102, B04, S22, 1
B04, Trade, 86009.417, 122, B04, S20, 1
B04, Trade, 86013.450, 97, B04, S17, 1
B04, Trade, 86017.300, 107, B04, S17, 1
B04, Trade, 86025.850, 137, B04, S24, 1
B04, Trade, 86030.550, 140, B04, S24, 1
B04, Trade, 86032.533, 116, B04, S21, 1
B04, Trade, 86039.183, 114, B04, S02, 1
B04, Trade, 86041.650, 131, B04, S18, 1
B04, Trade, 86052.450, 106, B04, S04, 1
B04, Trade, 86060.750, 99, B04, S21, 1
B04, Trade, 86064.883, 139, B04, S03, 1
B04, Trade, 86068.967, 106, B04, S18, 1
B04, Trade, 86069.917, 114, B04, S22, 1
B04, Trade, 86081.283, 140, B04, S11, 1
B04, Trade, 86082.267, 129, B04, S08, 1
B04, Trade, 86088.467, 114, B04, S25, 1
B04, Trade, 86094.867, 128, B04, S25, 1
B04, Trade, 86100.017, 115, B04, S21, 1
B04, Trade, 86102.917, 139, B04, S09, 1
B04, Trade, 86111.650, 100, B04, S04, 1
B04, Trade, 86118.283, 129, B04, S25, 1
B04, Trade, 86129.800, 126, B04, S07, 1
B04, Trade, 86133.367, 140, B04, S16, 1
B04, Trade, 86137.650, 102, B04, S18, 1
B04, Trade, 86144.283, 140, B04, S18, 1
B04, Trade, 86151.400, 109, B04, S09, 1
B04, Trade, 86154.033, 128, B04, S00, 1
B04, Trade, 86159.033, 138, B04, S10, 1
B04, Trade, 86166.250, 127, S13, B04, 1
B04, Trade, 86170.717, 123, B04, S06, 1
B04, Trade, 86178.133, 124, B04, S22, 1
B04, Trade, 86185.150, 132, B04, S27, 1
B04, Trade, 86187.417, 136, B04, S07, 1
B04, Trade, 86196.300, 121, B04, S22, 1
B04, Trade, 86203.450, 113, B04, S03, 1
B04, Trade, 86211.917, 119, B04, S21, 1
B04, Trade, 86213.633, 139, B04, S03, 1
B04, Trade, 86220.583, 108, B04, S02, 1
B04, Trade, 86227.900, 119, B04, S22, 1
B04, Trade, 86238.383, 139, B04, S15, 1
B04, Trade, 86240.483, 115, B04, S09, 1
B04, Trade, 86246.000, 121, B04, S02, 1
B04, Trade, 86252.783, 128, B04, S20, 1
B04, Trade, 86258.383, 79, B04, S25, 1
B04, Trade, 86273.267, 107, B04, S07, 1
B04, Trade, 86281.550, 136, B04, S29, 1
B04, Trade, 86285.333, 135, B04, S25, 1
B04, Trade, 86291.350, 119, B04, S02, 1
B04, Trade, 86296.150, 128, S14, B04, 1
B04, Trade, 86302.283, 118, B04, S17, 1
B04, Trade, 86306.250, 134, B04, S17, 1
B04, Trade, 86312.867, 138, B04, S02, 1
B04, Trade, 86316.483, 131, B04, S06, 1
B04, Trade, 86320.950, 105, S13, B04, 1
B04, Trade, 86324.483, 140, B04, S14, 1
B04, Trade, 86328.850, 140, B04, S20, 1
B04, Trade, 86335.317, 120, B04, S04, 1
B04, Trade, 86342.283, 140, B04, S20, 1
B04, Trade, 86346.067, 107, B04, S21, 1
B04, Trade, 86352.067, 139, S14, B04, 1
B04, Trade, 86357.367, 113, B04, S17, 1
B04, Trade, 86358.950, 137, B04, S28, 1
B04, Trade, 86365.467, 130, B04, S18, 1
B04, Trade, 86370.917, 140, B04, S26, 1
B04, Trade, 86377.633, 134, S01, B04, 1
B04, Trade, 86380.900, 140, B04, S28, 1
B04, Trade, 86389.033, 122, B04, S00, 1
B04, Trade, 86395.950, 123, B04, S03, 1
B04, Trade, 86397.883, 106, B04, S23, 1
B05, 100
B05, Trade, 85469.083, 96, S25, B05, 1
B05, Trade, 85476.883, 110, B05, S03, 1
B05, Trade, 85479.183, 104, S26, B05, 1
B05, Trade, 85481.950, 139, B05, S04, 1
B05, Trade, 85495.050, 132, S26, B05, 1
B05, Trade, 85507.417, 132, B05, S06, 1
B05, Trade, 85518.517, 133, B05, S09, 1
B05, Trade, 85527.000, 119, S00, B05, 1
B05, Trade, 85533.767, 106, B05, S22, 1
B05, Trade, 85541.017, 98, S02, B05, 1
B05, Trade, 85551.933, 116, B05, S23, 1
B05, Trade, 85559.550, 127, B05, S15, 1
B05, Trade, 85562.417, 140, S27, B05, 1
B05, Trade, 85573.700, 110, B05, S18, 1
B05, Trade, 85575.650, 116, B05, S09, 1
B05, Trade, 85581.833, 124, B05, S20, 1
B05, Trade, 85590.050, 103, B05, S18, 1
B05, Trade, 85597.133, 126, S18, B05, 1
B05, Trade, 85604.833, 127, B05, S02, 1
B05, Trade, 85615.183, 111, S13, B05, 1
B05, Trade, 85621.083, 125, B05, S23, 1
B05, Trade, 85625.767, 119, B05, S21, 1
B05, Trade, 85640.733, 119, B05, S17, 1
B05, Trade, 85646.783, 131, B05, S02, 1
B05, Trade, 85655.767, 130, S02, B05, 1
B05, Trade, 85665.633, 136, S13, B05, 1
B05, Trade, 85679.100, 126, B05, S09, 1
B05, Trade, 85687.267, 111, B05, S23, 1
B05, Trade, 85694.000, 138, B05, S23, 1
B05, Trade, 85704.950, 88, B05, S25, 1
B05, Trade, 85713.450, 117, B05, S10, 1
B05, Trade, 85719.617, 134, B05, S18, 1
B05, Trade, 85731.500, 121, S21, B05, 1
B05, Trade, 85748.200, 129, B05, S00, 1
B05, Trade, 85755.433, 122, B05, S11, 1
B05, Trade, 85760.417, 124, B05, S28, 1
B05, Trade, 85778.550, 130, B05, S23, 1
